class,ours,openvid,internvid
Applying sunscreen,0.010000,0.020000,0.000000
Archery,0.000000,0.000000,0.000000
Arm wrestling,0.006667,0.040000,0.000000
Assembling bicycle,0.003333,0.020000,0.000000
BMX,0.003333,0.000000,0.050000
Baking cookies,0.000000,0.030000,0.000000
Ballet,0.000000,0.020000,0.000000
Bathing dog,0.000000,0.000000,0.000000
Baton twirling,0.003333,0.010000,0.000000
Beach soccer,0.000000,0.000000,0.000000
Beer pong,0.000000,0.000000,0.000000
Belly dance,0.000000,0.000000,0.000000
Blow-drying hair,0.100000,0.010000,0.000000
Blowing leaves,0.010000,0.000000,0.000000
Braiding hair,0.030000,0.050000,0.000000
Breakdancing,0.000000,0.000000,0.000000
Brushing hair,0.000000,0.000000,0.000000
Brushing teeth,0.003333,0.000000,0.000000
Building sandcastles,0.006667,0.000000,0.000000
Bullfighting,0.000000,0.020000,0.000000
Bungee jumping,0.000000,0.000000,0.000000
Calf roping,0.000000,0.000000,0.000000
Camel ride,0.000000,0.000000,0.000000
Canoeing,0.000000,0.000000,0.000000
Capoeira,0.003333,0.010000,0.050000
Carving jack-o-lanterns,0.000000,0.000000,0.000000
Changing car wheel,0.023333,0.010000,0.050000
Cheerleading,0.003333,0.020000,0.000000
Chopping wood,0.000000,0.000000,0.000000
Clean and jerk,0.000000,0.000000,0.000000
Cleaning shoes,0.000000,0.000000,0.000000
Cleaning sink,0.000000,0.000000,0.000000
Cleaning windows,0.003333,0.000000,0.000000
Clipping cat claws,0.000000,0.000000,0.000000
Cricket,0.023333,0.010000,0.000000
Croquet,0.003333,0.010000,0.000000
Cumbia,0.000000,0.010000,0.000000
Curling,0.000000,0.000000,0.000000
Cutting the grass,0.003333,0.000000,0.000000
Decorating the Christmas tree,0.000000,0.000000,0.000000
Disc dog,0.000000,0.000000,0.000000
Discus throw,0.000000,0.000000,0.000000
Dodgeball,0.003333,0.010000,0.000000
Doing a powerbomb,0.000000,0.000000,0.000000
Doing crunches,0.000000,0.000000,0.000000
Doing fencing,0.000000,0.000000,0.000000
Doing karate,0.000000,0.000000,0.000000
Doing kickboxing,0.003333,0.000000,0.000000
Doing motocross,0.000000,0.010000,0.000000
Doing nails,0.006667,0.000000,0.000000
Doing step aerobics,0.000000,0.000000,0.000000
Drinking beer,0.000000,0.000000,0.000000
Drinking coffee,0.000000,0.020000,0.000000
Drum corps,0.006667,0.000000,0.000000
Elliptical trainer,0.000000,0.000000,0.000000
Fixing bicycle,0.003333,0.000000,0.000000
Fixing the roof,0.000000,0.010000,0.000000
Fun sliding down,0.000000,0.000000,0.000000
Futsal,0.000000,0.000000,0.000000
Gargling mouthwash,0.000000,0.000000,0.000000
Getting a haircut,0.013333,0.000000,0.000000
Getting a piercing,0.000000,0.000000,0.000000
Getting a tattoo,0.080000,0.010000,0.000000
Grooming dog,0.000000,0.010000,0.000000
Grooming horse,0.003333,0.000000,0.000000
Hammer throw,0.000000,0.000000,0.000000
Hand car wash,0.000000,0.000000,0.000000
Hand washing clothes,0.006667,0.010000,0.000000
Hanging wallpaper,0.000000,0.000000,0.000000
Having an ice cream,0.000000,0.030000,0.000000
High jump,0.000000,0.000000,0.050000
Hitting a pinata,0.003333,0.000000,0.000000
Hopscotch,0.026667,0.000000,0.100000
Horseback riding,0.000000,0.000000,0.000000
Hula hoop,0.003333,0.000000,0.000000
Hurling,0.000000,0.050000,0.000000
Ice fishing,0.003333,0.000000,0.000000
Installing carpet,0.000000,0.000000,0.000000
Ironing clothes,0.000000,0.010000,0.000000
Javelin throw,0.000000,0.000000,0.000000
Kayaking,0.000000,0.000000,0.000000
Kite flying,0.013333,0.010000,0.000000
Kneeling,0.070000,0.020000,0.050000
Knitting,0.016667,0.010000,0.000000
Laying tile,0.000000,0.000000,0.000000
Layup drill in basketball,0.003333,0.000000,0.000000
Long jump,0.000000,0.000000,0.000000
Longboarding,0.006667,0.000000,0.000000
Making a cake,0.000000,0.010000,0.000000
Making a lemonade,0.043333,0.010000,0.000000
Making a sandwich,0.000000,0.000000,0.000000
Making an omelette,0.000000,0.000000,0.050000
Mixing drinks,0.003333,0.010000,0.000000
Mooping floor,0.000000,0.020000,0.000000
Mowing the lawn,0.003333,0.000000,0.000000
Paintball,0.000000,0.010000,0.000000
Painting,0.000000,0.000000,0.000000
Painting fence,0.000000,0.000000,0.000000
Painting furniture,0.003333,0.000000,0.000000
Peeling potatoes,0.000000,0.000000,0.000000
Ping-pong,0.003333,0.000000,0.000000
Plastering,0.000000,0.000000,0.000000
Plataform diving,0.003333,0.000000,0.000000
Playing accordion,0.016667,0.000000,0.000000
Playing badminton,0.003333,0.010000,0.000000
Playing bagpipes,0.003333,0.000000,0.000000
Playing beach volleyball,0.000000,0.000000,0.000000
Playing blackjack,0.010000,0.000000,0.000000
Playing congas,0.000000,0.000000,0.000000
Playing drums,0.000000,0.000000,0.000000
Playing field hockey,0.000000,0.000000,0.000000
Playing flauta,0.000000,0.000000,0.000000
