video_id,top1_class,top1_score
_8zzdOnrlF4,Kneeling,0.2793
CKsmcYSIqFE,Playing polo,0.3186
yFmrHyZqie4,High jump,0.2788
ycrVulfnJxo,Capoeira,0.3155
h0KjLH3kYWk,BMX,0.2611
3XUqxsf9oHg,Changing car wheel,0.3079
J_B3RrsIevM,Preparing salad,0.2644
NqrHN6XxDow,Sailing,0.3030
8OeuAnWhbnc,Swimming,0.3292
wCBgd4nYdJc,Putting in contact lenses,0.2563
tBSgmyX5_D8,Putting in contact lenses,0.2532
1xu8oeHeRzU,Sumo,0.3056
wdupWOx_828,Hopscotch,0.2378
hB2eIe9HTrw,Powerbocking,0.2612
UwSAGZmpglw,Powerbocking,0.2700
fQLMFWYc9is,Making an omelette,0.2913
wKL5o4NEWr4,Hopscotch,0.2560
G-828bdJNbw,Washing face,0.2600
R-koxqtskmk,Preparing salad,0.2745
KBmwxUh1Fl4,Playing guitarra,0.3030
