video_id,top1_class,top1_score
37cc4fe62908ff291e7986fe7b073fff,Zumba,0.2567
0c0f38fcfde73f554ba87666b7a0f370,Wrapping presents,0.3508
87f35f52d9383abb3842dd9ecc356094,Changing car wheel,0.2979
7a70181f69d9bc4c326d7bc4c4b5273b,Blow-drying hair,0.2577
6f93ea66dceaf870ddb75fc044ebac54,Vacuuming floor,0.2775
4568b2da8351c56776b7afd531637b1a,Cricket,0.2425
33a753338bc143f3de95b943c7b0edef,Ice fishing,0.2611
2be781393a78530b8836253443d1196c,Shaving,0.2544
d19f5ced57c18761a2d2654b48a70a33,Blowing leaves,0.3274
0f59fd722602d8daf87cbc60f2ee48fc,Knitting,0.2266
0e90af261f4fce7d5eabd9d4f1e4d537,Arm wrestling,0.2593
2ee2ee8f11fdc4e2fa4473f40fbabb2b,Braiding hair,0.2606
6d348f59ef8394dd491795c2b40bc3f6,Shaving,0.2664
74f48127364950eb5ec687664ac68513,Blow-drying hair,0.2580
f7a6d4b5be891f73cede43bc969f2bee,Kneeling,0.2704
0ccffc292d99955b860199ebf8138a6b,Blow-drying hair,0.2585
634d0fb7679f325805d53332cb24f536,Blow-drying hair,0.2727
d02c279a049b19bf0eb7c496073dc869,Welding,0.2673
6e0dc9c33f2b7e47e266a7074fe3952c,Braiding hair,0.2517
de79b86123d88b4182fda2253d33e01f,Tug of war,0.1956
897098765cbaaaddc5ff9a32106c2458,Blow-drying hair,0.2341
02d19c87e5708eac24d44e3036d23a26,Cricket,0.2591
4f4b58e3e79881ecff1b165ae43ea119,Removing ice from car,0.3276
d1e02143cf38b3e4a6883e8a7b520528,Changing car wheel,0.2935
a9132ded41512938ed81393f6a5c0883,Shaving,0.2631
8941c23542e82cef0325718c31c0b59e,Hand washing clothes,0.3097
4d34c4c71b3ccf354c11cce0b2a89826,Making a lemonade,0.2302
6b89f41bacdad5cdd5683aa6f0b13694,Welding,0.3103
a76388f94fcf7b1a82230da5fdf2101c,Building sandcastles,0.2373
338a4b591ae29980054e0e2a6001201c,Surfing,0.2039
2e800d7194a9adfc1b13997a9295c52b,Getting a tattoo,0.2587
bc5c5798d93d0c76c0ccb5dda1a33990,Spread mulch,0.2488
3062116cb4f43bb7699ed6115a1c7c04,Powerbocking,0.2070
b2237a6cd490ed9eeed00c4c0a5b5649,Putting in contact lenses,0.2656
aacd177774e8c0068b88804652834fef,Welding,0.2672
834574126c393f332883b945789ed135,Playing accordion,0.2771
1579477cdd54b5abc93c7ef31a675183,Getting a tattoo,0.2224
e2f4130bc916a8cbaec51892275627b9,Kneeling,0.2139
3e36dd3b94e447ca2ec1cd87fde6c8b9,Longboarding,0.2806
bb605e9e9e516e60519e7fdfa750f317,Getting a haircut,0.2385
27eccdbe2c6fd6519842c2e9cb022c58,Spinning,0.2716
90f0b2d5f57352c9d919a72e85171381,Layup drill in basketball,0.3242
b35ae07da479c133785b4c541a5538c8,Baton twirling,0.3161
5fe09870c55309d613037ce318bff133,Powerbocking,0.2543
239d8dfa9041f50aff9b6d2a964047e5,Blow-drying hair,0.2676
1695b12bc71dd4d01e62c34f0be8f756,Getting a tattoo,0.2517
720b0cc7bfebd09ab2f2f99241634486,Playing accordion,0.2678
8ee8c5969c25f36516ed21e0f843af7a,Putting in contact lenses,0.2690
285fa01bc0d45324d12f1a7c179b8f46,Cricket,0.2704
7506085d9dc56c2e992f88b677e69b49,Surfing,0.3122
32e00fde9cfece3a2af7e1fe46cfbc44,Doing nails,0.3065
bc7e10e3271aac059b333ee1eef1aebd,Tai chi,0.3404
894fdb5e2b6f14fc32268984d35c22fd,Cricket,0.2561
e04cd82a000236084e9bf42764f21213,Making a lemonade,0.2343
b4bf8b19dafd0269fc141683c7f967b7,Playing polo,0.2160
50caa0f5598bbac9bd1b0a4b2dad07c2,Blow-drying hair,0.2610
b74ce153d6d10ba278c238b60a6ad963,Wrapping presents,0.2829
b0a112908f464aa96fd88f2eef4b8f44,Braiding hair,0.2627
687cac31b3cfc93a85073bfdd7daf176,Assembling bicycle,0.3066
8476509d2dd08e045af0c5eaea7546d0,Drum corps,0.2365
247db7efc74ac61b6a4621dccc6a7148,Getting a haircut,0.2607
5566f70e46cbd6731286d8642a457241,Tug of war,0.2023
7a6d3ea2c2299c4f2ae4e67f7011d046,Powerbocking,0.2159
5144ea0275ae792b425fecf612e0e0a3,Powerbocking,0.2436
e420eae8e65c35e599ddf3887bcae01f,Rock-paper-scissors,0.2683
bbf408c2d1f8954013a0f94627934303,Doing kickboxing,0.2171
85ce3f8a52e67d97008cee3514091ec9,Mixing drinks,0.3068
6d9ffef444f0adff1fb19dde2c5b0148,Tug of war,0.2858
a165fc99717e8be37d06e2ee0dd01117,Kneeling,0.2788
1c49a0b976cda7f9da5ef7ae6188b5ed,Kite flying,0.2259
72cdaffd743f6e979c1f7262e712c28d,Making a lemonade,0.2217
0f94b42beb1a3f090a8319d283a50e60,Braiding hair,0.2544
9c6230d457eb73d526fafcc337a00c99,Blow-drying hair,0.2651
c72790c70a8b893f4b5fdc3ab60510b3,Hitting a pinata,0.2771
84c30afd4a7870cd0cae36fbaf103e71,Playing accordion,0.2670
21ee864008cc234b6113bb647026717a,Spread mulch,0.2273
696b2d5c3d7d817003a3b4039dac0930,Cricket,0.2396
9c0773f57eb7da1a174193f179ef0040,Braiding hair,0.2500
6a2ec63f6a8a0cd131705f57d7f4b3bb,Getting a tattoo,0.2499
f4f1c5c2ddc33780954d5d1c73dcef79,Wrapping presents,0.2876
c4ba463616f99bce57922f19a96487a7,Braiding hair,0.2583
e2a30ea5c6b50d54e868043293f7f092,Blow-drying hair,0.2662
4736e39a5922ec099517dc1246d03494,Cheerleading,0.2547
8363b1dbaf1b71d69363459b36e8c588,Hopscotch,0.2418
456c505504c0093293b895fa1a4e96fd,Powerbocking,0.2587
7b33eb1206c358c0b47f875060a9ade6,Making a lemonade,0.2285
824f26546738dd01fb8fec3180fdf46d,Getting a tattoo,0.2566
d49f86bbccf884bedb83d5493c0de0e2,Getting a tattoo,0.2493
c669378ae3cb1d981e6668550c39fa5b,Changing car wheel,0.2980
b38112731767a9319648031617bc753a,Preparing salad,0.2732
6d78d9e786b091f878075bd462531a25,Welding,0.2359
44a7773a320bf3be7ccbd6c6efc00cd8,Getting a tattoo,0.2610
f9ecf8030fae73e934638d8fffaefc1f,Getting a tattoo,0.2547
f23c64e83137fa79d3f03f9a4a51a3ec,Shaving,0.2646
2d8b0e6f0d94a2960e581461719b9db2,Playing harmonica,0.2482
173485aa4d9fc6bfc52499252fe0fb18,Blow-drying hair,0.2476
36f944f7cc3d260e9db9aae1bbd879fb,Rock-paper-scissors,0.2462
4bf4d3694d4fa31ce9da15cf4ce241e9,Changing car wheel,0.3090
4f716d5a7f1c0326695a17eb59e2197e,Blow-drying hair,0.2496
d1ab019b78c6e108cca9f510bb6f7e1b,Vacuuming floor,0.3056
202b51e1a6494b11c25c766d4930421b,Rock-paper-scissors,0.2884
be97a1a5aa97d9431db897fe4f0ef1c8,Changing car wheel,0.3134
bd04b718d264a1b658f3ca1b84fa0390,Kneeling,0.2666
e70031e3d92a92640fdecfee24603832,Getting a tattoo,0.2588
7d4ae55b36a68954cd03d735838b5fa9,Powerbocking,0.1954
0537e5f5e905c263e8759378f4adfc38,Applying sunscreen,0.3080
39479781c07ed5f2502f7d81f793b926,Kneeling,0.2274
845f7ac431dbc4019e85b5dcf79461c8,Removing ice from car,0.2516
a90b66bf6703ecf6030ecb90b57e02a3,Wrapping presents,0.2668
37d28fb93730249dc27801eb1cdccd22,Blow-drying hair,0.2463
91125b0145447dd72624d4518b7b3b67,Hand washing clothes,0.2872
d7613fe6131578a223aad09084352879,Making a lemonade,0.2206
4e806a5a17e598cd247e24690c8821bd,Tango,0.2656
e06e21807138330214a412f2a357cd28,Mowing the lawn,0.2939
01613099fa65cdbb08676970f37019d0,Playing bagpipes,0.2607
82c268baf1b7bc91405eb0949bd7a623,Sailing,0.2851
f59ac3ef3100fe9d19246b604b686488,Cleaning windows,0.2878
5972592545121d478c8f5ab2a97b617d,Getting a tattoo,0.2637
f8fca63ae8140c6c14cadf4a49b9569b,Spread mulch,0.2202
359c6c70b80c74ca2d068589352ceec3,Playing ice hockey,0.2676
93c3f45b5635ec713130799820a40705,Drum corps,0.2467
63560a702bb6a80257404cc9d3a917c6,Raking leaves,0.2662
b92075e203bc18a38dd08cf3cf7d0801,Getting a tattoo,0.2551
5050d3e09f102799951c272582cb0d33,Tug of war,0.1895
0040bc6f4136754b49c6be3ff6f8d67a,Playing accordion,0.2600
a15a0fa41c21f610f80ef59d4bdde721,Grooming horse,0.2519
f0471465b10269db5491b05fdc5e0f79,Blow-drying hair,0.2490
09729b238edaeadac1acfd72b402c12b,Getting a tattoo,0.2527
37f330b3c7379f9b8574359e45e83efb,Getting a tattoo,0.2469
b3db14d5ed84786a4f0493c3a3429d55,Sharpening knives,0.2938
9853048ab5041f5984e2f35951113713,Powerbocking,0.2315
780dbbe406d59cbfa2d2ef98ed2f23c1,Blow-drying hair,0.2550
1d9237e44ca19814a0cc5a427107d09c,Playing blackjack,0.2955
78b0070907ab474405c56bff5c31a081,Blow-drying hair,0.2536
27e6b7e50a246475f22ca686dd402c1b,Blowing leaves,0.3242
2b2bda621810e1c32f47ede3c9a94a69,Kneeling,0.2189
ef31298bd31491f935e143db90da3b33,Longboarding,0.2658
2369f8559501fa7ab242695420d280d6,Wrapping presents,0.3293
3e9c329c0cd5ade8c120b0c3c0842228,Getting a tattoo,0.2495
3fd5562b4d4f65c681cb082e8d391cf0,Shaving,0.2562
ea6c58c226431b349a42daf12e658c1c,Tumbling,0.2232
525738ec6e7dd53bd1a15da979bd2b2c,Getting a tattoo,0.2500
83787b0596bff3ebfaa0b9762a34186f,Hopscotch,0.2292
d226d2a336bb118ca53494fb0273937b,Capoeira,0.3210
69ebe295563d1628aa8259ef087ba3bf,Running a marathon,0.2877
64a76b35354b95fe6c1c3954348adc1e,Playing ice hockey,0.2482
9a749baa16621b8bde9cf1bffd00511d,Getting a tattoo,0.2435
c637e9f4612d3b30191118e2a71a8cea,Braiding hair,0.2553
b8cb73401b1871f01c398b7b3181dfdb,Shaving,0.2492
d938ac6338468dffea101f5e308dac49,Making a lemonade,0.2476
fea3eb4c5866b81a2465fdbee40afe45,Cricket,0.2215
df7a842f42ecb8b5462d4214103cd79d,Preparing salad,0.2952
3c0c0a49edd1073100c5c0713e3360cb,Braiding hair,0.2637
7babd0fbdd24ba36e1833c212a1518e2,Hopscotch,0.2416
70609fa493db24096f87199f623f4ef7,Getting a haircut,0.2371
20908c6f0fe21e8fb31843ffbdcf1a16,Spread mulch,0.2127
a819498d2a2ced4d6e96ca454f88dced,Playing blackjack,0.2665
0a4af55db2e66cceac58f122b7992064,Hula hoop,0.3044
736584ceb6aca5bd3ca990a8ba5ef039,Kneeling,0.2064
6e009ab549bcabcf5c52b530999f93fc,Kneeling,0.2671
0302577fc916547f5eaf9237d41a67c5,Powerbocking,0.2450
2450684d1648bbfe5f61ae71123b0be8,Powerbocking,0.2593
1dddc88b5633867c3f38bdbb3846e9b5,Walking the dog,0.3013
72bde3c006b2f83d53cc535b2a9ac3df,Kneeling,0.2750
22b17b9ff3e69b70f8d5c92a05b4135f,Powerbocking,0.2493
0f42422ef532d1d68284f23596f1fa19,Welding,0.2669
a41534c1c3b7866a340434c42c1a5737,Trimming branches or hedges,0.2495
2444ea51ba12c9eb14f0b7f9f9b0a47f,Building sandcastles,0.2295
fd0b8e1c820eaf4a63707f8ed162971c,Kneeling,0.2290
77426fb8b4e0af40a65d6007900374b4,Playing harmonica,0.2691
898fff5ba2cfd5b534ae771322edeb62,Getting a tattoo,0.2306
eef6f6e023debd517f5b05b8ca03ab15,Snatch,0.2231
6ae827f36e9c8db41913d5d673b3d468,Knitting,0.2419
421f25907788cf76eadbe8be7e85e391,Zumba,0.2611
e912683b340b393e4b4573b1c4ef7f0e,Tai chi,0.2182
7977caf530df928f0310ee4d2d3fb9cb,Kneeling,0.2567
e9478eaef0f1fe1cf12eecd562519625,Preparing salad,0.2395
c9fc718b97315a5c3d5ebf8ba35b7341,Applying sunscreen,0.2912
5f175bb9518cf6e1057b175b9254a265,Cricket,0.2734
2f38c92f6fcdbfc25eadb55ce325b675,Putting in contact lenses,0.2990
309129ab030d117bcf3e8a15071f9d61,Kite flying,0.2692
d5d0fdf8e5be41d042ce208ddd1c1d62,Arm wrestling,0.2569
b0434197d3c288db6ffa343d9593e085,Powerbocking,0.2936
d26376f9a7274b92f7acd9d0b1cbd956,Kneeling,0.2592
cbcfcc40f6dc4e59cc77f8c78ed9667b,Changing car wheel,0.3023
e67196b065034210505b784ab7d92b2a,Removing ice from car,0.2968
1b729e41403a240ea0e9c0e24459e01c,Getting a tattoo,0.2259
316eb3a334fb482efa456adffbbbb3e7,Knitting,0.2726
1efd8090e25cf033933bcafdd7e0aec7,Shaving,0.2505
