rank,word,count,fraction
1,the,98060,0.08709554219328709
2,a,81038,0.07197683610299407
3,and,44619,0.03962998161454494
4,in,31197,0.02770874596985496
5,with,23421,0.020802209807352406
6,of,22159,0.019681318778921566
7,is,18610,0.016529145831297908
8,on,13252,0.011770243984758724
9,his,13242,0.011761362122409826
10,to,12740,0.011315492632495181
11,man,11400,0.01012532307774294
12,white,10967,0.009740738438035688
13,as,9991,0.00887386867278331
14,text,9352,0.00830631766868877
15,he,9163,0.00813845047029461
16,black,7963,0.0070726269884269334
17,sequence,7642,0.00678751920702733
18,right,6858,0.00609118119887378
19,background,6819,0.00605654193571308
20,remains,6585,0.005848706356748883
21,wearing,6507,0.005779427830427484
22,visible,6329,0.005621330680617112
23,dark,6116,0.005432147012585599
24,are,5674,0.0050395686967643375
25,left,5543,0.004923216299993783
26,logo,5346,0.004748243611720506
27,while,5095,0.0045253088667631825
28,her,4965,0.004409844656227518
29,scene,4828,0.004288163142047625
30,blue,4799,0.004262405741235822
31,red,4653,0.004132730550941922
32,across,4643,0.004123848688593024
33,microphone,4584,0.00407144570073453
34,screen,4312,0.003829859044844523
35,shirt,4212,0.00374104042135555
36,slightly,4091,0.0036335698869338923
37,throughout,4088,0.003630905328229223
38,small,3975,0.0035305402836866835
39,or,3931,0.0034914600893515353
40,progresses,3821,0.003393759603513665
41,hand,3786,0.003362673085292524
42,from,3560,0.0031619429962074447
43,front,3470,0.0030820062350673688
44,talk,3423,0.0030402614820275514
45,positioned,3354,0.00297897663182016
46,speaking,3307,0.0029372318787803425
47,by,3229,0.0028679533524589435
48,at,3204,0.0028457486965867
49,frames,3112,0.002764035562976845
50,green,3077,0.0027329490447557045
51,that,3045,0.0027045270852392327
52,frame,3025,0.0026867633605414383
53,reads,3014,0.0026769933119576515
54,facial,2970,0.0026379131176225033
55,expression,2962,0.0026308076277433852
56,featuring,2930,0.002602385668226914
57,hands,2897,0.0025730755224755526
58,behind,2881,0.002558864542717317
59,bottom,2843,0.002525113465791507
60,static,2767,0.0024576113119398877
61,setting,2713,0.002409649255255842
62,headphones,2695,0.002393661903027827
