categories,language,url
['Education'],Unknown,https://www.youtube.com/watch?v=69bd1R7yQYg
['Entertainment'],en,https://www.youtube.com/watch?v=3rkm6_qVcEk
['Sports'],en,https://www.youtube.com/watch?v=59js9KuXj-o
['News & Politics'],en,https://www.youtube.com/watch?v=4FOgsZYo_60
['Education'],Unknown,https://www.youtube.com/watch?v=6KI_qcZYljM
['Entertainment'],en,https://www.youtube.com/watch?v=4USVnvzarHQ
['Entertainment'],en,https://www.youtube.com/watch?v=3jh2Ct_6T9s
['People & Blogs'],en,https://www.youtube.com/watch?v=5wKBlyvXDqI
['Education'],en,https://www.youtube.com/watch?v=6bCA4rFxC24
['Education'],en,https://www.youtube.com/watch?v=5zWTE3DMkiY
['Gaming'],en,https://www.youtube.com/watch?v=6a-gIF2gxlA
['Entertainment'],en,https://www.youtube.com/watch?v=6bSgLCEdQcs
['People & Blogs'],en,https://www.youtube.com/watch?v=5ivhtk6Sak0
['Howto & Style'],en,https://www.youtube.com/watch?v=3h7Tp_GAVC0
['Science & Technology'],en,https://www.youtube.com/watch?v=3cd3slILXEc
['Science & Technology'],en,https://www.youtube.com/watch?v=3NTyLhxc79o
['Science & Technology'],en,https://www.youtube.com/watch?v=3Mv-NtwzJIU
['News & Politics'],en,https://www.youtube.com/watch?v=4E9nD4jG8eU
['Science & Technology'],en,https://www.youtube.com/watch?v=3ekOtkuPM_M
['Science & Technology'],en,https://www.youtube.com/watch?v=3LLa7ORORFw
['People & Blogs'],Unknown,https://www.youtube.com/watch?v=5XlVTOZtXGQ
['Education'],hi,https://www.youtube.com/watch?v=5nsXFnHMpHc
['Education'],en,https://www.youtube.com/watch?v=4ICYlgvcCRA
['Education'],en,https://www.youtube.com/watch?v=48BeaFwV374
['News & Politics'],en,https://www.youtube.com/watch?v=6VF24n1bdpE
['Film & Animation'],en,https://www.youtube.com/watch?v=3Lxc1-OvisQ
['Science & Technology'],Unknown,https://www.youtube.com/watch?v=592Bj9otKY4
['Science & Technology'],en,https://www.youtube.com/watch?v=5iqBKTDWzFw
['News & Politics'],en,https://www.youtube.com/watch?v=5vzfU2y-BVM
['Science & Technology'],en,https://www.youtube.com/watch?v=6geWpWMHSns
['People & Blogs'],pl,https://www.youtube.com/watch?v=4msFzCs1S54
['Entertainment'],en,https://www.youtube.com/watch?v=4LaothvEvIE
['Sports'],en,https://www.youtube.com/watch?v=4DFtqijuxdM
['Education'],en,https://www.youtube.com/watch?v=3eRLtF1P-ko
['Sports'],en,https://www.youtube.com/watch?v=6CVDHFNUCvs
['Education'],Unknown,https://www.youtube.com/watch?v=6R1p39NaSxo
['Education'],en,https://www.youtube.com/watch?v=3x_KDM6GqtQ
['News & Politics'],en,https://www.youtube.com/watch?v=3FwhTvydKlI
['Education'],en,https://www.youtube.com/watch?v=4Eakh-Bk3S8
['Science & Technology'],en,https://www.youtube.com/watch?v=6Q7nHYe95nQ
['News & Politics'],Unknown,https://www.youtube.com/watch?v=7Xbr_NRo5xs
['Education'],en,https://www.youtube.com/watch?v=59xBeS3WxII
['Science & Technology'],en,https://www.youtube.com/watch?v=9pQ7bRnrDyc
['Nonprofits & Activism'],en,https://www.youtube.com/watch?v=5HWughQL0u0
['News & Politics'],Unknown,https://www.youtube.com/watch?v=3wMOVwGuvC0
['Education'],en,https://www.youtube.com/watch?v=4VK_v8KfLog
['News & Politics'],en,https://www.youtube.com/watch?v=4VTQrqcL0fk
['Education'],en,https://www.youtube.com/watch?v=4yOYRaKzw-o
['News & Politics'],en,https://www.youtube.com/watch?v=3h1B4IfaNgE
['Science & Technology'],en,https://www.youtube.com/watch?v=4llxI2ioCO0
['Education'],en,https://www.youtube.com/watch?v=3fc5hdRIUA0
