video_id,gender,age,gender_margin,age_margin,language,lang_prob
8uLzRDExhBk_11_0to106,no_person,middle_aged,0.0011,0.0017,no_audio,0.0000
z7zRFdFH-ys_26_0to114,no_person,no_person,0.0286,0.0009,no_audio,0.0000
ZNJpKn0LVh8_6_0to122,woman,young_adult,0.0201,0.0027,no_audio,0.0000
i2ie35t4MQE_2_0to114,man,young_adult,0.0330,0.0112,no_audio,0.0000
Kzx3JGB0QPU_32_0to122,man,middle_aged,0.0472,0.0392,no_audio,0.0000
zMQI7yA9W-4_0_366to468,woman,young_adult,0.0257,0.0087,no_audio,0.0000
VWntGCy49TY_33_17to128,no_person,young_adult,0.0014,0.0145,no_audio,0.0000
TbO5R3dS-6A_6_0to136,man,middle_aged,0.0464,0.0377,no_audio,0.0000
2nepnsSFWcs_84_75to183,man,middle_aged,0.0514,0.0501,no_audio,0.0000
uO7fVvmaSVI_23_0to125,man,child,0.0236,0.0081,no_audio,0.0000
P5f05yqIr9E_75_23to127,man,child,0.0228,0.0252,no_audio,0.0000
KJ3aaGDE67M_65_22to158,no_person,child,0.0152,0.0125,no_audio,0.0000
YUJF-L7yOkc_12_124to242,woman,young_adult,0.0339,0.0117,no_audio,0.0000
QUw2-P8y8CY_69_28to136,man,middle_aged,0.0324,0.0062,no_audio,0.0000
uf7ZImHRb3Q_31_369to506,no_person,middle_aged,0.0006,0.0034,no_audio,0.0000
ZoH4rRAKwno_6_363to473,man,middle_aged,0.0383,0.0191,no_audio,0.0000
-H8k-D7kYPw_243_0to108,man,middle_aged,0.0024,0.0225,no_audio,0.0000
VzAxVNRPOME_14_49to176,man,middle_aged,0.0204,0.0238,no_audio,0.0000
QCJin8ONvtU_18_20to156,woman,middle_aged,0.0307,0.0099,no_audio,0.0000
FYrDfiMPa2E_19_17to160,no_person,young_adult,0.0288,0.0269,no_audio,0.0000
813HLjJdtj8_27_45to194,woman,middle_aged,0.0318,0.0071,no_audio,0.0000
nBnip0Vjn5s_163_0to128,woman,young_adult,0.0398,0.0016,no_audio,0.0000
biJ2kmZyCQs_39_285to427,man,child,0.0071,0.0262,no_audio,0.0000
DqA3sdTWOSE_6_25to139,man,middle_aged,0.0340,0.0411,no_audio,0.0000
qNnFmeQttW8_345_195to298,no_person,young_adult,0.0155,0.0008,no_audio,0.0000
vP6uoAwo-ig_22_45to150,woman,elderly,0.0206,0.0487,no_audio,0.0000
THhv6PUqjK0_38_66to168,man,middle_aged,0.0208,0.0201,no_audio,0.0000
3JWKslGOZis_10_63to170,woman,young_adult,0.0192,0.0162,no_audio,0.0000
yC7B6g9lyYw_36_24to134,man,middle_aged,0.0405,0.0206,no_audio,0.0000
hgwqU83ETyg_29_0to109,man,middle_aged,0.0130,0.0130,no_audio,0.0000
DJQ8dmS9qZY_7_45to171,man,middle_aged,0.0015,0.0004,no_audio,0.0000
K4EIYQ6fkG4_103_134to240,man,middle_aged,0.0096,0.0191,no_audio,0.0000
1KCgttT1ga4_50_0to110,man,middle_aged,0.0061,0.0036,no_audio,0.0000
OoekLod4vzE_9_240to410,man,middle_aged,0.0429,0.0287,no_audio,0.0000
Cmd5NvjoVnU_1_1078to1181,man,middle_aged,0.0345,0.0340,no_audio,0.0000
sUP4Yn_Xfj8_0_0to108,man,middle_aged,0.0184,0.0040,no_audio,0.0000
k3p2WFdbsjs_83_0to136,woman,middle_aged,0.0399,0.0167,no_audio,0.0000
Ke6-hZ16s-0_177_80to199,no_person,child,0.0013,0.0128,no_audio,0.0000
VYiXLHyf93o_22_0to113,man,middle_aged,0.0365,0.0141,no_audio,0.0000
aZngT1Eas4w_17_0to152,man,young_adult,0.0253,0.0061,no_audio,0.0000
mDjJIluEX-g_4_0to125,man,middle_aged,0.0526,0.0338,no_audio,0.0000
fr7t3gjrTAM_130_79to193,man,young_adult,0.0098,0.0084,no_audio,0.0000
Fn9VVmMhd5w_33_0to142,woman,young_adult,0.0353,0.0058,no_audio,0.0000
NeQUNe9kAmg_224_0to118,woman,child,0.0053,0.0055,no_audio,0.0000
gWbAXis6RnI_17_0to116,no_person,child,0.0060,0.0187,no_audio,0.0000
Q8NkhKyxQcU_5_0to159,woman,young_adult,0.0406,0.0024,no_audio,0.0000
o10ttRfzS_Y_1_0to118,man,middle_aged,0.0257,0.0109,no_audio,0.0000
LSKpIRqzz10_18_0to116,man,middle_aged,0.0436,0.0233,no_audio,0.0000
U_mq7jVs51I_14_0to111,woman,young_adult,0.0403,0.0040,no_audio,0.0000
0-e8QYhjCf0_55_0to161,man,middle_aged,0.0399,0.0033,no_audio,0.0000
F5-nfxQjfZU_19_35to151,man,middle_aged,0.0020,0.0012,no_audio,0.0000
nA6OwzQ-P1Q_4_0to148,man,young_adult,0.0312,0.0004,no_audio,0.0000
er7QxMgCiqA_32_18to133,no_person,no_person,0.0203,0.0060,no_audio,0.0000
M5dsDue3ZOw_8_45to163,man,young_adult,0.0416,0.0082,no_audio,0.0000
uBDKdlGLp9U_80_0to113,man,young_adult,0.0505,0.0008,no_audio,0.0000
YuSTkDufasg_16_22to131,woman,middle_aged,0.0387,0.0115,no_audio,0.0000
PrNp1g0MGG8_11_108to213,woman,child,0.0038,0.0011,no_audio,0.0000
UZo1Ac5ijIU_75_0to113,man,middle_aged,0.0317,0.0150,no_audio,0.0000
vBK-9ThYgM0_58_92to225,man,middle_aged,0.0378,0.0102,no_audio,0.0000
OkxJ1KJOGSk_3_17to122,man,middle_aged,0.0481,0.0294,no_audio,0.0000
