video_id,duration,diag_mean,offdiag_mean,diag_advantage,argmax_correct,argmax_possible
87f35f52d9383abb3842dd9ecc356094,28.13,0.2814,0.2627,0.0187,1,3
6f93ea66dceaf870ddb75fc044ebac54,11.68,0.2678,0.2474,0.0204,2,3
4568b2da8351c56776b7afd531637b1a,18.08,0.2815,0.2814,0.0001,1,3
0f59fd722602d8daf87cbc60f2ee48fc,24.80,0.2874,0.2829,0.0045,2,3
d02c279a049b19bf0eb7c496073dc869,45.16,0.2805,0.2831,-0.0025,0,3
de79b86123d88b4182fda2253d33e01f,79.80,0.2958,0.2898,0.0060,2,3
338a4b591ae29980054e0e2a6001201c,25.39,0.2657,0.2620,0.0037,1,3
2e800d7194a9adfc1b13997a9295c52b,11.55,0.2725,0.2779,-0.0054,1,3
3062116cb4f43bb7699ed6115a1c7c04,20.88,0.2989,0.2967,0.0022,1,3
aacd177774e8c0068b88804652834fef,16.24,0.2999,0.2995,0.0005,1,3
720b0cc7bfebd09ab2f2f99241634486,59.69,0.2717,0.2691,0.0026,1,3
b4bf8b19dafd0269fc141683c7f967b7,13.68,0.3353,0.3372,-0.0019,0,3
c72790c70a8b893f4b5fdc3ab60510b3,21.86,0.2679,0.2661,0.0018,2,3
84c30afd4a7870cd0cae36fbaf103e71,10.68,0.2680,0.2652,0.0028,0,3
d49f86bbccf884bedb83d5493c0de0e2,12.15,0.2524,0.2551,-0.0027,1,3
6d78d9e786b091f878075bd462531a25,20.72,0.2947,0.2991,-0.0044,0,3
2d8b0e6f0d94a2960e581461719b9db2,509.92,0.3082,0.3040,0.0042,1,3
d1ab019b78c6e108cca9f510bb6f7e1b,49.17,0.2784,0.2641,0.0143,2,3
f8fca63ae8140c6c14cadf4a49b9569b,32.24,0.2798,0.2833,-0.0036,0,3
93c3f45b5635ec713130799820a40705,25.57,0.2565,0.2482,0.0083,1,3
5050d3e09f102799951c272582cb0d33,135.20,0.3254,0.3326,-0.0072,0,3
3fd5562b4d4f65c681cb082e8d391cf0,12.41,0.2619,0.2648,-0.0029,1,3
525738ec6e7dd53bd1a15da979bd2b2c,30.53,0.2678,0.2691,-0.0013,1,3
83787b0596bff3ebfaa0b9762a34186f,19.83,0.2927,0.2923,0.0004,1,3
20908c6f0fe21e8fb31843ffbdcf1a16,31.08,0.2517,0.2545,-0.0029,1,3
2444ea51ba12c9eb14f0b7f9f9b0a47f,11.52,0.2873,0.2884,-0.0011,1,3
6ae827f36e9c8db41913d5d673b3d468,17.68,0.2865,0.2836,0.0029,2,3
e912683b340b393e4b4573b1c4ef7f0e,50.05,0.2423,0.2436,-0.0014,0,3
5f175bb9518cf6e1057b175b9254a265,82.83,0.2938,0.2948,-0.0010,0,3
1b729e41403a240ea0e9c0e24459e01c,23.65,0.2668,0.2776,-0.0108,0,3
1efd8090e25cf033933bcafdd7e0aec7,10.98,0.2660,0.2709,-0.0049,0,3
36c99072dc5cbbc9328973e70e7c13ca,11.61,0.2815,0.2782,0.0033,1,3
db9fa0a132bf1c799f422c3d52fd1f36,11.41,0.3250,0.3097,0.0153,2,3
311e4d7eba1243b1c5edc2ebdd9809e3,10.28,0.2824,0.2843,-0.0019,1,3
ef0e2377fc486d602686c33dc1f46a79,34.73,0.2639,0.2634,0.0004,1,3
ed2759098a865b632a4a53cebad28982,16.02,0.2682,0.2689,-0.0007,1,3
1dce3aa6c8c0d2c394002a8b2a0ebe8e,60.13,0.3133,0.3132,0.0001,1,3
4ce0fd0a531c4be0e2e0f44299d1b84e,12.91,0.2549,0.2414,0.0136,0,3
5ef196fd7e7113217214b69bdf8d2542,20.00,0.2754,0.2740,0.0014,1,3
1f2d89946d22831975e862ce992ef98e,14.05,0.2652,0.2714,-0.0062,1,3
f69a31f955eba5af0cada8b1c5a8eb3d,19.12,0.2628,0.2589,0.0039,1,3
1ca32d688e680a61575f49474936f635,312.36,0.2915,0.2712,0.0203,2,3
f90586d2ab30b190fa0a0aed80b4e471,11.20,0.2780,0.2727,0.0053,1,3
2879f1fe53415b59fab0e61e7110a0f9,17.15,0.2607,0.2603,0.0004,1,3
c868f429c17c48ffdd920ec29f1f01af,65.03,0.2641,0.2625,0.0016,1,3
9bd234ffc99c3768d76f22b970172730,771.34,0.2459,0.2487,-0.0028,0,3
414e341fa8a97d1bb9dd6f3043fc28c6,10.31,0.2837,0.2905,-0.0068,1,3
e1c576e2e5b96971d71fcf1243964cad,106.56,0.2595,0.2683,-0.0088,0,3
f7f8f8d80de25eaefa9ed8df23a68c1b,16.52,0.2864,0.2525,0.0339,2,3
d9438ff7ca1561aeef665a097c703af5,50.70,0.2129,0.2123,0.0007,1,3
65a3b117d05cffda63728e812bba495c,11.16,0.2611,0.2614,-0.0003,2,3
7d397ae6620007acd398415152bc7ae8,54.59,0.2437,0.2731,-0.0294,1,3
2e6315c2506aabcac1b3f19f91205711,583.62,0.2629,0.2693,-0.0064,0,3
88e860bcc28b02c681b9b834fce003e3,17.88,0.2557,0.2598,-0.0041,1,3
1156e74726d9785eef1eef86cd7769cc,24.60,0.2370,0.2318,0.0053,1,3
4f1059e6a29ad93afec8a71904736466,25.16,0.2879,0.2884,-0.0004,1,3
e817b14493177b25b34e1d8afa85a1ca,15.85,0.2391,0.2387,0.0004,2,3
a31f0eb72b3d237a31fc23243816175c,15.43,0.2865,0.2835,0.0029,1,3
39a5b7524fd69c55ac1ab64ef7276dd7,21.80,0.2658,0.2652,0.0006,1,3
5f019c4db077a6bed910dc58e5193c2b,49.90,0.3070,0.3055,0.0014,1,3
d81f35e886d20b71d3ee1e16d97d02fe,50.83,0.2818,0.2583,0.0235,2,3
ffec2995e147a82a4e22867eed271090,16.02,0.2392,0.2371,0.0021,2,3
c7e4f9b10a2547566c8e13d58a837339,52.52,0.2854,0.2812,0.0041,1,3
d54654e6a65f0ab52c2ddc0e2fb99116,14.63,0.2959,0.2939,0.0020,1,3
2eacf1549fedcfdc6100d64a0edf9699,23.72,0.2753,0.2800,-0.0046,0,3
7a6f8aae02195495b49db24e1462af2f,46.05,0.2746,0.2743,0.0003,1,3
c68cbdc320d9d52c974dac63e83cefa1,28.88,0.2979,0.2688,0.0291,3,3
d3326a685a3e8db398598fa5720c32f3,29.96,0.3007,0.2973,0.0033,1,3
fedab73f45d0fab5eea325e0be88de31,41.47,0.2779,0.2821,-0.0042,1,3
9d3c28bfe82e13840f44d3941fafedcf,11.01,0.2530,0.2569,-0.0039,0,3
db6b303ef062e0639e887619a5a6985c,23.29,0.3062,0.2938,0.0124,2,3
4f0e2951900e0938c032096c3467930d,27.02,0.2766,0.2655,0.0111,3,3
87b227102852255d8d835b090945df3c,10.68,0.2279,0.2325,-0.0046,1,3
d9f8fac34f9a615ace91c1c559f823e9,20.15,0.2538,0.2539,-0.0001,1,3
f0102c59c60b4fb59715405bd82ca74e,232.16,0.3014,0.3023,-0.0009,0,3
86eaca1c199a7b491be7f6690b53e86c,70.73,0.3587,0.3587,0.0000,1,3
c1062af1052f96918fb9619aadb70a12,13.65,0.2543,0.2556,-0.0014,2,3
524a72103026155367038ac1567e6de4,12.00,0.2687,0.2708,-0.0021,2,3
