video_id,n_questions,n_matched,n_unknown,accuracy,error
37cc4fe62908ff291e7986fe7b073fff,3,3,0,1.000,
0c0f38fcfde73f554ba87666b7a0f370,3,1,0,0.333,
87f35f52d9383abb3842dd9ecc356094,3,0,1,0.000,
7a70181f69d9bc4c326d7bc4c4b5273b,3,2,0,0.667,
6f93ea66dceaf870ddb75fc044ebac54,3,2,0,0.667,
4568b2da8351c56776b7afd531637b1a,3,2,1,0.667,
33a753338bc143f3de95b943c7b0edef,3,0,0,0.000,
2be781393a78530b8836253443d1196c,3,2,1,0.667,
d19f5ced57c18761a2d2654b48a70a33,3,1,0,0.333,
0f59fd722602d8daf87cbc60f2ee48fc,3,1,2,0.333,
0e90af261f4fce7d5eabd9d4f1e4d537,3,3,0,1.000,
2ee2ee8f11fdc4e2fa4473f40fbabb2b,3,1,0,0.333,
6d348f59ef8394dd491795c2b40bc3f6,3,2,1,0.667,
74f48127364950eb5ec687664ac68513,3,2,0,0.667,
f7a6d4b5be891f73cede43bc969f2bee,3,3,0,1.000,
0ccffc292d99955b860199ebf8138a6b,3,1,0,0.333,
634d0fb7679f325805d53332cb24f536,3,1,0,0.333,
d02c279a049b19bf0eb7c496073dc869,3,3,0,1.000,
6e0dc9c33f2b7e47e266a7074fe3952c,3,1,0,0.333,
de79b86123d88b4182fda2253d33e01f,3,3,0,1.000,
897098765cbaaaddc5ff9a32106c2458,3,0,0,0.000,
02d19c87e5708eac24d44e3036d23a26,3,3,0,1.000,
4f4b58e3e79881ecff1b165ae43ea119,3,2,0,0.667,
d1e02143cf38b3e4a6883e8a7b520528,3,2,0,0.667,
a9132ded41512938ed81393f6a5c0883,3,2,0,0.667,
8941c23542e82cef0325718c31c0b59e,3,3,0,1.000,
4d34c4c71b3ccf354c11cce0b2a89826,3,2,1,0.667,
6b89f41bacdad5cdd5683aa6f0b13694,3,3,0,1.000,
a76388f94fcf7b1a82230da5fdf2101c,3,1,0,0.333,
338a4b591ae29980054e0e2a6001201c,3,3,0,1.000,
2e800d7194a9adfc1b13997a9295c52b,3,2,0,0.667,
bc5c5798d93d0c76c0ccb5dda1a33990,3,1,1,0.333,
3062116cb4f43bb7699ed6115a1c7c04,3,1,0,0.333,
b2237a6cd490ed9eeed00c4c0a5b5649,3,3,0,1.000,
aacd177774e8c0068b88804652834fef,3,3,0,1.000,
834574126c393f332883b945789ed135,3,3,0,1.000,
1579477cdd54b5abc93c7ef31a675183,3,0,0,0.000,
e2f4130bc916a8cbaec51892275627b9,3,1,0,0.333,
3e36dd3b94e447ca2ec1cd87fde6c8b9,3,2,0,0.667,
bb605e9e9e516e60519e7fdfa750f317,3,2,0,0.667,
