video_id,caption_length_words,score
_8zzdOnrlF4,11,0.320685
CKsmcYSIqFE,7,0.216099
yFmrHyZqie4,14,0.308831
ycrVulfnJxo,10,0.276126
h0KjLH3kYWk,8,0.290128
J_B3RrsIevM,8,0.379610
NqrHN6XxDow,9,0.315731
3XUqxsf9oHg,12,0.301677
1xu8oeHeRzU,6,0.336781
8OeuAnWhbnc,10,0.340223
wCBgd4nYdJc,8,0.290725
wdupWOx_828,4,0.285227
tBSgmyX5_D8,11,0.300539
hB2eIe9HTrw,9,0.262472
UwSAGZmpglw,8,0.308179
fQLMFWYc9is,9,0.270867
wKL5o4NEWr4,12,0.273584
G-828bdJNbw,11,0.311436
R-koxqtskmk,9,0.320348
KBmwxUh1Fl4,9,0.281820
