video_id,caption_length_words,score
8uLzRDExhBk_11_0to106,123,0.337426
z7zRFdFH-ys_26_0to114,74,0.351159
ZNJpKn0LVh8_6_0to122,84,0.320202
i2ie35t4MQE_2_0to114,80,0.345787
Kzx3JGB0QPU_32_0to122,108,0.266600
zMQI7yA9W-4_0_366to468,109,0.295213
VWntGCy49TY_33_17to128,95,0.335806
TbO5R3dS-6A_6_0to136,108,0.366218
2nepnsSFWcs_84_75to183,97,0.273662
uO7fVvmaSVI_23_0to125,93,0.284671
P5f05yqIr9E_75_23to127,91,0.328187
KJ3aaGDE67M_65_22to158,167,0.298454
YUJF-L7yOkc_12_124to242,108,0.304357
QUw2-P8y8CY_69_28to136,106,0.298912
uf7ZImHRb3Q_31_369to506,123,0.378077
ZoH4rRAKwno_6_363to473,88,0.299915
-H8k-D7kYPw_243_0to108,98,0.307790
VzAxVNRPOME_14_49to176,98,0.312462
QCJin8ONvtU_18_20to156,106,0.314999
FYrDfiMPa2E_19_17to160,67,0.353079
813HLjJdtj8_27_45to194,105,0.294217
nBnip0Vjn5s_163_0to128,101,0.310547
biJ2kmZyCQs_39_285to427,87,0.368780
DqA3sdTWOSE_6_25to139,72,0.298433
qNnFmeQttW8_345_195to298,117,0.366981
vP6uoAwo-ig_22_45to150,105,0.413143
THhv6PUqjK0_38_66to168,106,0.362733
3JWKslGOZis_10_63to170,108,0.332550
yC7B6g9lyYw_36_24to134,97,0.272134
hgwqU83ETyg_29_0to109,83,0.352594
DJQ8dmS9qZY_7_45to171,115,0.333088
K4EIYQ6fkG4_103_134to240,77,0.341257
1KCgttT1ga4_50_0to110,95,0.344288
OoekLod4vzE_9_240to410,121,0.293267
Cmd5NvjoVnU_1_1078to1181,131,0.279441
sUP4Yn_Xfj8_0_0to108,108,0.289113
k3p2WFdbsjs_83_0to136,97,0.313532
Ke6-hZ16s-0_177_80to199,123,0.385956
VYiXLHyf93o_22_0to113,96,0.300487
aZngT1Eas4w_17_0to152,71,0.285586
mDjJIluEX-g_4_0to125,87,0.298650
fr7t3gjrTAM_130_79to193,114,0.297350
Fn9VVmMhd5w_33_0to142,80,0.300408
NeQUNe9kAmg_224_0to118,109,0.366043
gWbAXis6RnI_17_0to116,86,0.320227
Q8NkhKyxQcU_5_0to159,84,0.286075
o10ttRfzS_Y_1_0to118,109,0.338817
LSKpIRqzz10_18_0to116,87,0.345419
U_mq7jVs51I_14_0to111,95,0.239794
0-e8QYhjCf0_55_0to161,115,0.281010
