video_id,caption_length_words,score
37cc4fe62908ff291e7986fe7b073fff,126,0.330862
0c0f38fcfde73f554ba87666b7a0f370,123,0.301194
87f35f52d9383abb3842dd9ecc356094,127,0.310947
7a70181f69d9bc4c326d7bc4c4b5273b,130,0.295200
6f93ea66dceaf870ddb75fc044ebac54,127,0.252738
4568b2da8351c56776b7afd531637b1a,128,0.359537
33a753338bc143f3de95b943c7b0edef,138,0.254690
2be781393a78530b8836253443d1196c,125,0.327186
d19f5ced57c18761a2d2654b48a70a33,141,0.316994
0f59fd722602d8daf87cbc60f2ee48fc,145,0.326818
0e90af261f4fce7d5eabd9d4f1e4d537,145,0.285133
2ee2ee8f11fdc4e2fa4473f40fbabb2b,139,0.315911
6d348f59ef8394dd491795c2b40bc3f6,114,0.338784
74f48127364950eb5ec687664ac68513,123,0.282673
f7a6d4b5be891f73cede43bc969f2bee,132,0.290368
0ccffc292d99955b860199ebf8138a6b,140,0.300578
634d0fb7679f325805d53332cb24f536,127,0.312604
d02c279a049b19bf0eb7c496073dc869,126,0.371031
6e0dc9c33f2b7e47e266a7074fe3952c,140,0.325264
de79b86123d88b4182fda2253d33e01f,129,0.307428
897098765cbaaaddc5ff9a32106c2458,131,0.290225
02d19c87e5708eac24d44e3036d23a26,126,0.263574
4f4b58e3e79881ecff1b165ae43ea119,129,0.320121
d1e02143cf38b3e4a6883e8a7b520528,120,0.322828
a9132ded41512938ed81393f6a5c0883,129,0.319817
8941c23542e82cef0325718c31c0b59e,129,0.348992
4d34c4c71b3ccf354c11cce0b2a89826,136,0.286199
6b89f41bacdad5cdd5683aa6f0b13694,132,0.253321
a76388f94fcf7b1a82230da5fdf2101c,133,0.199006
338a4b591ae29980054e0e2a6001201c,121,0.266326
2e800d7194a9adfc1b13997a9295c52b,137,0.319639
bc5c5798d93d0c76c0ccb5dda1a33990,133,0.291615
3062116cb4f43bb7699ed6115a1c7c04,136,0.310536
b2237a6cd490ed9eeed00c4c0a5b5649,119,0.323578
aacd177774e8c0068b88804652834fef,137,0.340221
834574126c393f332883b945789ed135,144,0.278393
1579477cdd54b5abc93c7ef31a675183,147,0.315804
e2f4130bc916a8cbaec51892275627b9,132,0.288761
3e36dd3b94e447ca2ec1cd87fde6c8b9,132,0.308219
bb605e9e9e516e60519e7fdfa750f317,127,0.281658
27eccdbe2c6fd6519842c2e9cb022c58,133,0.319665
90f0b2d5f57352c9d919a72e85171381,120,0.272660
b35ae07da479c133785b4c541a5538c8,136,0.302855
5fe09870c55309d613037ce318bff133,123,0.285533
239d8dfa9041f50aff9b6d2a964047e5,135,0.292656
1695b12bc71dd4d01e62c34f0be8f756,131,0.350272
720b0cc7bfebd09ab2f2f99241634486,121,0.338664
8ee8c5969c25f36516ed21e0f843af7a,119,0.242389
285fa01bc0d45324d12f1a7c179b8f46,111,0.376819
7506085d9dc56c2e992f88b677e69b49,122,0.311557
32e00fde9cfece3a2af7e1fe46cfbc44,131,0.242793
bc7e10e3271aac059b333ee1eef1aebd,142,0.346076
894fdb5e2b6f14fc32268984d35c22fd,117,0.362047
e04cd82a000236084e9bf42764f21213,130,0.294818
b4bf8b19dafd0269fc141683c7f967b7,141,0.318736
50caa0f5598bbac9bd1b0a4b2dad07c2,121,0.287698
b74ce153d6d10ba278c238b60a6ad963,140,0.305717
b0a112908f464aa96fd88f2eef4b8f44,136,0.295552
687cac31b3cfc93a85073bfdd7daf176,132,0.293184
8476509d2dd08e045af0c5eaea7546d0,134,0.151866
247db7efc74ac61b6a4621dccc6a7148,130,0.299537
5566f70e46cbd6731286d8642a457241,135,0.283427
7a6d3ea2c2299c4f2ae4e67f7011d046,132,0.317991
5144ea0275ae792b425fecf612e0e0a3,146,0.243222
e420eae8e65c35e599ddf3887bcae01f,135,0.274088
bbf408c2d1f8954013a0f94627934303,145,0.316341
85ce3f8a52e67d97008cee3514091ec9,131,0.324633
6d9ffef444f0adff1fb19dde2c5b0148,123,0.328740
a165fc99717e8be37d06e2ee0dd01117,151,0.263952
1c49a0b976cda7f9da5ef7ae6188b5ed,155,0.219950
72cdaffd743f6e979c1f7262e712c28d,141,0.307981
0f94b42beb1a3f090a8319d283a50e60,146,0.289715
9c6230d457eb73d526fafcc337a00c99,126,0.308678
c72790c70a8b893f4b5fdc3ab60510b3,131,0.335810
84c30afd4a7870cd0cae36fbaf103e71,129,0.328741
21ee864008cc234b6113bb647026717a,147,0.334539
696b2d5c3d7d817003a3b4039dac0930,164,0.271010
9c0773f57eb7da1a174193f179ef0040,141,0.288617
6a2ec63f6a8a0cd131705f57d7f4b3bb,136,0.319429
f4f1c5c2ddc33780954d5d1c73dcef79,135,0.253041
c4ba463616f99bce57922f19a96487a7,118,0.323248
e2a30ea5c6b50d54e868043293f7f092,134,0.292086
4736e39a5922ec099517dc1246d03494,142,0.267986
8363b1dbaf1b71d69363459b36e8c588,141,0.345155
456c505504c0093293b895fa1a4e96fd,135,0.268388
7b33eb1206c358c0b47f875060a9ade6,126,0.306893
824f26546738dd01fb8fec3180fdf46d,138,0.338583
d49f86bbccf884bedb83d5493c0de0e2,125,0.242914
c669378ae3cb1d981e6668550c39fa5b,141,0.350938
b38112731767a9319648031617bc753a,129,0.298799
6d78d9e786b091f878075bd462531a25,144,0.329561
44a7773a320bf3be7ccbd6c6efc00cd8,136,0.352371
f9ecf8030fae73e934638d8fffaefc1f,135,0.316377
f23c64e83137fa79d3f03f9a4a51a3ec,123,0.289553
2d8b0e6f0d94a2960e581461719b9db2,140,0.329501
173485aa4d9fc6bfc52499252fe0fb18,133,0.250532
36f944f7cc3d260e9db9aae1bbd879fb,149,0.314943
4bf4d3694d4fa31ce9da15cf4ce241e9,126,0.242742
4f716d5a7f1c0326695a17eb59e2197e,132,0.290522
d1ab019b78c6e108cca9f510bb6f7e1b,143,0.306240
202b51e1a6494b11c25c766d4930421b,131,0.354282
be97a1a5aa97d9431db897fe4f0ef1c8,120,0.353008
bd04b718d264a1b658f3ca1b84fa0390,138,0.297290
e70031e3d92a92640fdecfee24603832,123,0.313603
7d4ae55b36a68954cd03d735838b5fa9,142,0.332476
0537e5f5e905c263e8759378f4adfc38,102,0.241289
39479781c07ed5f2502f7d81f793b926,135,0.306054
845f7ac431dbc4019e85b5dcf79461c8,144,0.260038
a90b66bf6703ecf6030ecb90b57e02a3,138,0.316078
37d28fb93730249dc27801eb1cdccd22,124,0.288626
91125b0145447dd72624d4518b7b3b67,139,0.270083
d7613fe6131578a223aad09084352879,133,0.326527
4e806a5a17e598cd247e24690c8821bd,143,0.235793
e06e21807138330214a412f2a357cd28,125,0.342126
01613099fa65cdbb08676970f37019d0,137,0.317865
82c268baf1b7bc91405eb0949bd7a623,140,0.263471
f59ac3ef3100fe9d19246b604b686488,139,0.265509
5972592545121d478c8f5ab2a97b617d,133,0.318062
f8fca63ae8140c6c14cadf4a49b9569b,147,0.314358
359c6c70b80c74ca2d068589352ceec3,135,0.318927
93c3f45b5635ec713130799820a40705,125,0.287102
63560a702bb6a80257404cc9d3a917c6,149,0.245796
b92075e203bc18a38dd08cf3cf7d0801,120,0.287118
5050d3e09f102799951c272582cb0d33,145,0.330660
0040bc6f4136754b49c6be3ff6f8d67a,137,0.274619
a15a0fa41c21f610f80ef59d4bdde721,132,0.319839
f0471465b10269db5491b05fdc5e0f79,128,0.271389
09729b238edaeadac1acfd72b402c12b,127,0.316340
37f330b3c7379f9b8574359e45e83efb,134,0.337903
b3db14d5ed84786a4f0493c3a3429d55,137,0.362921
9853048ab5041f5984e2f35951113713,151,0.330609
780dbbe406d59cbfa2d2ef98ed2f23c1,136,0.265322
1d9237e44ca19814a0cc5a427107d09c,134,0.284713
78b0070907ab474405c56bff5c31a081,134,0.262407
27e6b7e50a246475f22ca686dd402c1b,135,0.353567
2b2bda621810e1c32f47ede3c9a94a69,124,0.296392
ef31298bd31491f935e143db90da3b33,115,0.335938
2369f8559501fa7ab242695420d280d6,136,0.235679
3e9c329c0cd5ade8c120b0c3c0842228,131,0.315352
3fd5562b4d4f65c681cb082e8d391cf0,115,0.304704
ea6c58c226431b349a42daf12e658c1c,135,0.385680
525738ec6e7dd53bd1a15da979bd2b2c,128,0.295083
83787b0596bff3ebfaa0b9762a34186f,123,0.359240
