dataset,caption_length_cap,n,t2v_R@1,t2v_R@5,t2v_R@10,t2v_median_rank,v2t_R@1,v2t_R@5,v2t_R@10,v2t_median_rank,actual_mean_len
ours,132,1000,0.252,0.496,0.618,6.0,0.254,0.486,0.64,6.0,118.619
ours,64,1000,0.241,0.467,0.58,7.0,0.226,0.468,0.602,7.0,53.087
ours,32,1000,0.19,0.387,0.491,11.0,0.15,0.343,0.466,13.0,24.066
ours,17,1000,0.145,0.33,0.441,14.0,0.142,0.296,0.422,15.0,16.381
openvid,132,200,0.795,0.95,0.97,1.0,0.845,0.98,0.99,1.0,97.68
openvid,64,200,0.765,0.955,0.97,1.0,0.86,0.985,0.99,1.0,54.76
openvid,32,200,0.64,0.895,0.93,1.0,0.79,0.96,0.99,1.0,24.345
openvid,17,200,0.535,0.775,0.855,1.0,0.615,0.86,0.925,1.0,15.215
internvid,132,20,0.95,1.0,1.0,1.0,0.95,1.0,1.0,1.0,9.25
internvid,64,20,0.95,1.0,1.0,1.0,0.95,1.0,1.0,1.0,9.25
internvid,32,20,0.95,1.0,1.0,1.0,0.95,1.0,1.0,1.0,9.25
internvid,17,20,0.95,1.0,1.0,1.0,0.95,1.0,1.0,1.0,9.25
